Date,Open,High,Low,Close,Adj Close,Volume
2020-01-24,54.389999,54.410000,54.150002,54.200001,54.200001,34447364
2020-01-26,53.700001,53.709999,52.150002,52.639999,52.639999,1009546
2020-01-27,52.889999,53.540001,52.130001,52.970001,52.970001,332069958
2020-01-28,53.080002,54.080002,52.680000,53.820000,53.820000,279037102
2020-01-29,54.139999,54.369999,52.810001,53.099998,53.099998,277368615
2020-01-30,52.790001,52.990002,51.669998,52.849998,52.849998,308221904
2020-01-31,53.270000,53.290001,50.970001,51.630001,51.630001,333298189
2020-02-02,51.009998,51.270000,50.580002,51.009998,51.009998,568976
2020-02-03,51.490002,51.970001,49.660000,49.939999,49.939999,406763986
2020-02-04,50.570000,51.549999,49.310001,49.680000,49.680000,401693969
2020-02-05,50.169998,51.880001,49.720001,51.230000,51.230000,399639669
2020-02-06,51.889999,52.169998,50.240002,51.369999,51.369999,367876984
2020-02-07,51.060001,51.330002,50.090000,50.340000,50.340000,323724242
2020-02-09,50.110001,50.160000,49.560001,49.759998,49.759998,479627
2020-02-10,50.189999,50.459999,49.419998,49.750000,49.750000,315353391
2020-02-11,50.160000,50.689999,49.709999,50.070000,50.070000,301129450
2020-02-12,50.590000,51.959999,50.459999,51.450001,51.450001,335842099
2020-02-13,51.270000,51.910000,50.599998,51.369999,51.369999,339526375
2020-02-14,51.509998,52.340000,51.320000,52.049999,52.049999,745400
2020-02-16,52.200001,52.410000,52.099998,52.180000,52.180000,19935
2020-02-18,52.230000,52.410000,50.880001,52.049999,52.049999,607343
2020-02-19,52.119999,53.660000,51.930000,53.290001,53.290001,221774
2020-02-20,53.500000,54.500000,53.220001,53.779999,53.779999,113683
2020-02-21,53.740002,53.860001,52.549999,53.380001,53.380001,676179
2020-02-23,52.599998,52.639999,51.660000,52.080002,52.080002,1339288
2020-02-24,52.599998,52.639999,50.450001,51.430000,51.430000,707555
2020-02-25,51.369999,52.020000,49.689999,49.900002,49.900002,765515
2020-02-26,50.080002,50.439999,48.299999,48.730000,48.730000,764989
2020-02-27,47.939999,48.380001,45.880001,46.810001,46.810001,447356482
2020-02-28,45.750000,46.040001,43.849998,45.259998,45.259998,521755276
2020-03-01,43.720001,44.700001,43.410000,44.570000,44.570000,1006074
2020-03-02,46.080002,47.939999,44.849998,47.889999,47.889999,481526539
