Date,Open,High,Low,Close,Adj Close,Volume
2019-12-30,1517.699951,1518.400024,1517.500000,1517.800049,1517.800049,3597128
2019-12-31,1526.500000,1529.000000,1519.199951,1520.000000,1520.000000,117342599
2020-01-02,1521.900024,1534.000000,1520.900024,1531.199951,1531.199951,138920019
2020-01-03,1541.400024,1556.599976,1540.900024,1555.199951,1555.199951,252835424
2020-01-05,1562.699951,1590.900024,1562.300049,1571.300049,1571.300049,1601769
2020-01-06,1578.400024,1581.500000,1562.699951,1565.900024,1565.900024,351767794
2020-01-07,1561.000000,1600.000000,1560.800049,1595.099976,1595.099976,248100301
2020-01-08,1594.699951,1597.000000,1553.400024,1558.500000,1558.500000,523360893
2020-01-09,1559.199951,1559.800049,1541.000000,1553.400024,1553.400024,214311140
2020-01-10,1548.000000,1564.099976,1547.099976,1563.199951,1563.199951,169714044
2020-01-12,1563.000000,1563.099976,1558.900024,1559.900024,1559.900024,207196
2020-01-13,1556.500000,1557.300049,1545.400024,1545.699951,1545.699951,170548560
2020-01-14,1539.400024,1550.599976,1536.699951,1549.800049,1549.800049,190177255
2020-01-15,1552.500000,1558.800049,1547.300049,1556.000000,1556.000000,164493030
2020-01-16,1555.800049,1557.599976,1548.000000,1552.400024,1552.400024,137787507
2020-01-17,1555.900024,1561.400024,1554.000000,1557.300049,1557.300049,140402771
2020-01-19,1557.300049,1559.099976,1555.900024,1557.300049,1557.300049,97444
2020-01-21,1566.599976,1567.199951,1546.000000,1556.000000,1556.000000,301372688
2020-01-22,1552.800049,1563.300049,1550.300049,1561.400024,1561.400024,155293608
2020-01-23,1553.699951,1567.500000,1551.300049,1560.599976,1560.599976,162065697
2020-01-24,1559.099976,1575.400024,1555.800049,1571.300049,1571.300049,183129709
2020-01-26,1580.500000,1588.400024,1578.699951,1582.300049,1582.300049,858573
2020-01-27,1578.500000,1585.800049,1575.300049,1580.000000,1580.000000,217486818
2020-01-28,1578.599976,1581.500000,1564.599976,1566.699951,1566.699951,183559081
2020-01-29,1564.400024,1577.699951,1563.900024,1576.500000,1576.500000,134300741
2020-01-30,1578.599976,1590.699951,1571.699951,1579.599976,1579.599976,165676819
2020-01-31,1576.000000,1594.800049,1570.900024,1593.400024,1593.400024,144766831
2020-02-02,1597.800049,1598.500000,1588.599976,1593.500000,1593.500000,372385
2020-02-03,1585.400024,1585.800049,1568.199951,1582.500000,1582.500000,186103733
2020-02-04,1579.300049,1580.000000,1547.800049,1557.699951,1557.699951,177539926
2020-02-05,1560.900024,1566.199951,1547.699951,1559.699951,1559.699951,184649483
2020-02-06,1556.699951,1571.900024,1551.599976,1569.699951,1569.699951,132032306
2020-02-07,1569.199951,1577.699951,1560.500000,1573.800049,1573.800049,148555144
2020-02-09,1575.800049,1580.199951,1569.300049,1577.300049,1577.300049,204217
2020-02-10,1575.599976,1580.500000,1569.500000,1575.599976,1575.599976,117406715
2020-02-11,1572.099976,1577.500000,1565.199951,1570.699951,1570.699951,123785766
2020-02-12,1570.400024,1574.400024,1564.400024,1573.199951,1573.199951,104144500
2020-02-13,1576.699951,1581.500000,1574.800049,1580.599976,1580.599976,157482656
2020-02-14,1575.800049,1582.699951,1574.800049,1582.699951,1582.699951,74
2020-02-16,1585.099976,1586.000000,1583.300049,1585.800049,1585.800049,161382
2020-02-18,1579.800049,1604.300049,1579.800049,1600.000000,1600.000000,68
2020-02-19,1600.599976,1610.500000,1599.699951,1607.500000,1607.500000,310
2020-02-20,1606.500000,1621.000000,1603.000000,1616.599976,1616.599976,542
2020-02-21,1619.300049,1645.000000,1619.300049,1644.599976,1644.599976,117
2020-02-23,1656.000000,1684.099976,1654.599976,1667.500000,1667.500000,1646902
2020-02-24,1657.000000,1686.599976,1650.000000,1672.400024,1672.400024,186
2020-02-25,1645.099976,1653.699951,1632.300049,1646.900024,1646.900024,435
2020-02-26,1644.000000,1648.099976,1636.400024,1640.000000,1640.000000,409
2020-02-27,1654.099976,1662.500000,1636.699951,1647.099976,1647.099976,290546151
2020-02-28,1640.300049,1643.900024,1564.000000,1587.300049,1587.300049,402446632
2020-03-01,1592.800049,1594.300049,1576.300049,1584.599976,1584.599976,532471
2020-03-02,1601.300049,1612.099976,1584.699951,1593.599976,1593.599976,274120435
